job_id,Y_hist,Q,gender,ethnicity,age_band,location
72,0,0.6325014050190064,Female,E5,30-39,R4
246,0,0.1932196656760746,Male,E2,40-49,R1
187,0,0.3822524246674559,Female,E1,30-39,R1
41,0,0.3558882596904565,Male,E5,30-39,R1
234,0,0.1991024761733864,Female,E3,18-29,R1
73,0,0.3944385368092449,Male,E3,30-39,R1
175,0,0.5109493405970655,Female,E4,18-29,R3
266,1,0.4391069172409016,Male,E1,18-29,R3
219,0,0.1748614934938742,Female,E5,40-49,R3
295,0,0.4747548582836589,Male,E5,18-29,R1
248,1,0.666669215529778,Male,E3,30-39,R2
182,0,0.3874292182310721,Female,E6,30-39,R1
52,0,0.3994962422749912,Male,E1,18-29,R1
97,0,0.3574632574928791,Male,E1,50-64,R1
44,0,0.1860564930914285,Male,E2,30-39,R1
1,0,0.8749325582752572,Male,E1,40-49,R3
214,0,0.2342897040308711,Male,E1,30-39,R3
160,0,0.4950502495991115,Male,E2,40-49,R3
22,1,0.6809468416983314,Female,E1,40-49,R2
240,1,0.5527941037476607,Male,E1,18-29,R3
131,0,0.6724847718544631,Female,E4,30-39,R1
217,0,0.0818336771645903,Male,E2,40-49,R2
167,0,0.5200648156940446,Male,E3,40-49,R1
119,0,0.3984963175457857,Male,E3,30-39,R2
149,1,0.6347317426807045,Male,E2,30-39,R2
83,0,0.0846411551058733,Female,E2,30-39,R3
243,0,0.4233331609350843,Male,E5,18-29,R2
21,0,0.1457386353572976,Female,E4,30-39,R2
278,0,0.2850193304401415,Male,E4,18-29,R1
142,0,0.3091151511193818,Female,E3,18-29,R1
174,1,0.5019997671348317,Male,E6,40-49,R1
112,1,0.2448388729072069,Male,E3,18-29,R1
42,0,0.5324842595586109,Male,E3,30-39,R1
219,0,0.5523126690663154,Male,E3,18-29,R3
214,0,0.0732385015206733,Male,E3,30-39,R1
69,0,0.2011636881148813,Female,E2,30-39,R2
231,0,0.7148697431427394,Male,E4,40-49,R2
173,0,0.3141742689615863,Female,E2,50-64,R3
217,0,0.0608892167713759,Male,E1,18-29,R1
50,0,0.2918057165736407,Female,E3,18-29,R3
291,0,0.202514828193017,Female,E1,30-39,R3
81,0,0.1936735970570682,Female,E5,40-49,R1
230,1,0.7105547552258621,Male,E2,18-29,R1
57,0,0.4927911010424838,Male,E1,30-39,R1
196,0,0.394280944748883,Female,E2,30-39,R3
141,0,0.3282974288343877,Male,E6,18-29,R2
136,0,0.093980097502592,Female,E3,40-49,R3
30,0,0.5254030577072542,Male,E1,40-49,R2
26,1,0.7071463952098791,Female,E1,40-49,R1
91,0,0.621490220662478,Male,E3,30-39,R1
101,0,0.3520004319287366,Male,E5,18-29,R1
146,0,0.4129274179087492,Male,E4,18-29,R1
274,0,0.1668848453537819,Male,E2,30-39,R3
110,0,0.4658740174937908,Male,E3,18-29,R1
123,0,0.8588008380579323,Female,E1,40-49,R1
106,0,0.4047804015561458,Male,E1,40-49,R4
249,0,0.3854448633590083,Male,E1,30-39,R1
38,0,0.6761148853168762,Male,E4,30-39,R1
153,0,0.3212150140932802,Female,E3,40-49,R1
185,0,0.1198654713499181,Female,E2,30-39,R2
6,0,0.01,Male,E2,30-39,R2
44,0,0.3424076957299165,Male,E3,40-49,R2
19,0,0.3890326553108054,Female,E5,50-64,R2
25,0,0.0779967389717893,Female,E2,30-39,R4
87,0,0.3639482840204523,Male,E6,18-29,R2
179,0,0.3018822558023604,Male,E1,40-49,R1
217,1,0.4719865028470076,Female,E1,30-39,R3
151,1,0.361680282101413,Female,E4,18-29,R1
99,1,0.4373474043810393,Male,E4,18-29,R1
263,1,0.4551861028095968,Female,E2,40-49,R2
113,1,0.7560944173102808,Female,E5,50-64,R1
100,0,0.1512437234358851,Male,E2,30-39,R4
55,0,0.4513977703866013,Female,E4,30-39,R3
202,1,0.3872481522440867,Male,E2,50-64,R2
258,0,0.1458477631213339,Male,E4,50-64,R3
108,1,0.5694064915332117,Female,E4,18-29,R4
